"Artista";"Nome da música";"Popularidade"
"Kygo";"Higher Love";87
"Katy Perry";"Never Really Over";85
"Zedd";"The Middle";84
"Billie Eilish";"bad guy (with Justin Bieber)";83
"Sam Feldt";"Post Malone (feat. RANI)";83
"Marshmello";"Here With Me";83
"Ellie Goulding";"Sixteen";81
"Jonas Blue";"What I Like About You (feat. Theresa Rex)";81
"Zara Larsson";"Ruin My Life";79
"Kygo";"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")";79
"Kygo";"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")";79
"Gryffin";"All You Need To Know (feat. Calle Lehmann)";76
"Gryffin";"Body Back (feat. Maia Wright)";75
"Shawn Mendes";"Lost In Japan - Remix";75
"ILLENIUM";"In Your Arms (with X Ambassadors)";75
"Lil Nas X";"Old Town Road - Diplo Remix";74
"Zara Larsson";"All the Time";74
"NOTD";"I Wanna Know (feat. Bea Miller)";74
"ILLENIUM";"Good Things Fall Apart (with Jon Bellion)";74
"Kygo";"Not Ok";73
"5 Seconds of Summer";"Easier - Seeb Remix";71
"NOTD";"I Miss Myself (with HRVY)";71
"Kaskade";"With You";71
"Zara Larsson";"All the Time - Don Diablo Remix";70
"Avicii";"Heaven - David Guetta & MORTEN Remix";70
"AJ Mitchell";"Slow Dance (feat. Ava Max) - Sam Feldt Remix";70
"NOTD";"Wanted";70
"Gryffin";"Need Your Love (with Noah Kahan)";70
"Lewis Capaldi";"Someone You Loved - Future Humans Remix";69
"Sam Feldt";"Post Malone (feat. RANI) - GATTÜSO Remix";69
"Sam Smith";"Dancing With A Stranger (With Normani) - Cheat Codes Remix";69
"Avicii";"Tough Love - Tiësto Remix / Radio Edit";68
"Avicii";"SOS - Laidback Luke Tribute Remix / Radio Edit";68
"Maroon 5";"Memories - Dillon Francis Remix";67
"Ed Sheeran";"Beautiful People (feat. Khalid) - Jack Wins Remix";67
"Shawn Mendes";"If I Can't Have You - Gryffin Remix";67
"Ellie Goulding";"Hate Me - R3HAB Remix";67
"Loud Luxury";"Body On My";67
"ILLENIUM";"Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]";67
